"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"立即购买功能测试","161","{casename}","","Tue Feb 18 18:52:00 CST 2025","passed","Tue Feb 18 18:52:00 CST 2025","TestBuyNow","test_buy_now_api","",""
"","128","买家用户名为空","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","","test_cookie_login_api","",""
"","0","登录用户名为空","","Tue Feb 18 18:52:02 CST 2025","passed","Tue Feb 18 18:52:02 CST 2025","","test_cookie_query_api","",""
"","309","创建交易时REACT + BUY_NOW","","Tue Feb 18 18:52:03 CST 2025","passed","Tue Feb 18 18:52:03 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","297","创建交易时NATIVE + CART","","Tue Feb 18 18:52:04 CST 2025","passed","Tue Feb 18 18:52:04 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","338","买家登陆成功","","Tue Feb 18 18:52:00 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","TestBuyerLogin","test_buyer_login_api","",""
"","128","买家登录密码为空","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","","test_cookie_login_api","",""
"","61","买家登录成功","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","","test_cookie_login_api","",""
"","274","买家登录成功","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:02 CST 2025","","test_cookie_login_success","",""
"","276","创建交易时PC + CART","","Tue Feb 18 18:52:03 CST 2025","passed","Tue Feb 18 18:52:03 CST 2025","TestCreateTrade","test_create_trade_api","",""
"立即购买功能测试","111","{casename}","","Tue Feb 18 18:51:59 CST 2025","passed","Tue Feb 18 18:51:59 CST 2025","TestBuyNow","test_buy_now_api","",""
"","265","创建交易时WAP + CART","","Tue Feb 18 18:52:03 CST 2025","passed","Tue Feb 18 18:52:04 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","286","买家登录成功","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","","test_cookie_login_api","",""
"","302","创建交易时WAP + BUY_NOW","","Tue Feb 18 18:52:02 CST 2025","passed","Tue Feb 18 18:52:02 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","268","创建交易时MINI + CART","","Tue Feb 18 18:52:04 CST 2025","passed","Tue Feb 18 18:52:05 CST 2025","TestCreateTrade","test_create_trade_api","",""
"立即购买功能测试","125","{casename}","","Tue Feb 18 18:52:00 CST 2025","passed","Tue Feb 18 18:52:00 CST 2025","TestBuyNow","test_buy_now_api","",""
"","261","创建交易时MINI + BUY_NOW","","Tue Feb 18 18:52:03 CST 2025","passed","Tue Feb 18 18:52:03 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","480","立即购买成功","","Tue Feb 18 18:52:00 CST 2025","passed","Tue Feb 18 18:52:00 CST 2025","TestBuyNow","test_buy_now_api","",""
"","109","买家登录成功","","Tue Feb 18 18:52:01 CST 2025","passed","Tue Feb 18 18:52:01 CST 2025","","test_cookie_login_api","",""
"","300","创建交易时NATIVE + BUY_NOW","","Tue Feb 18 18:52:02 CST 2025","passed","Tue Feb 18 18:52:03 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","308","创建交易时PC + BUY_NOW","","Tue Feb 18 18:52:02 CST 2025","passed","Tue Feb 18 18:52:02 CST 2025","TestCreateTrade","test_create_trade_api","",""
"","0","登陆成功","","Tue Feb 18 18:52:02 CST 2025","passed","Tue Feb 18 18:52:02 CST 2025","","test_cookie_query_api","",""
"立即购买功能测试","141","{casename}","","Tue Feb 18 18:51:59 CST 2025","passed","Tue Feb 18 18:52:00 CST 2025","TestBuyNow","test_buy_now_api","",""
"","306","创建交易时REACT + CART","","Tue Feb 18 18:52:04 CST 2025","passed","Tue Feb 18 18:52:04 CST 2025","TestCreateTrade","test_create_trade_api","",""
